Frame,Predicted Offset,Forward Speed,Turn Speed,
252,-0.434026182,0.04,0.041318804025650024,[0.04      0.0413439]
253,-0.428028762,0.04,0.041318804025650024,[0.04      0.0413440]
254,-0.42151618,0.04,0.041318804025650024,[0.04      0.0413441]
255,-0.42151618,0.04,0.041318804025650024,[0.04      0.0413442]
256,-0.413741708,0.04,0.041318804025650024,[0.04      0.0413443]
257,-0.409047842,0.04,0.041318804025650024,[0.04      0.0413444]
258,-0.409047842,0.04,0.041318804025650024,[0.04      0.0413445]
259,-0.398547471,0.04,0.041318804025650024,[0.04      0.0413446]
260,-0.395359278,0.04,0.041318804025650024,[0.04      0.0413447]
261,-0.391198814,0.04,0.041318804025650024,[0.04      0.0413448]
262,-0.391198814,0.04,0.041318804025650024,[0.04      0.0413449]
263,-0.381395161,0.04,0.041318804025650024,[0.04      0.0413450]
264,-0.377572119,0.04,0.041318804025650024,[0.04      0.0413451]
265,-0.373298883,0.04,0.041318804025650024,[0.04      0.0413452]
266,-0.373298883,0.04,0.041318804025650024,[0.04      0.0413453]
267,-0.358261645,0.04,0.041318804025650024,[0.04      0.0413454]
268,-0.358261645,0.04,0.041318804025650024,[0.04      0.0413455]
269,-0.35155195,0.04,0.041318804025650024,[0.04      0.0413456]
270,-0.346922636,0.04,0.041318804025650024,[0.04      0.0413457]
271,-0.346922636,0.04,0.041318804025650024,[0.04      0.0413458]
272,-0.337214291,0.04,0.041318804025650024,[0.04      0.0413459]
273,-0.332676113,0.04,0.041318804025650024,[0.04      0.0413460]
274,-0.329226613,0.04,0.041318804025650024,[0.04      0.0413461]
275,-0.329226613,0.04,0.041318804025650024,[0.04      0.0413462]
276,-0.316874564,0.04,0.041318804025650024,[0.04      0.0413463]
277,-0.311248839,0.04,0.041318804025650024,[0.04      0.0413464]
278,-0.311248839,0.04,0.041318804025650024,[0.04      0.0413465]
279,-0.304281831,0.04,0.041318804025650024,[0.04      0.0413466]
280,-0.298471272,0.04,0.041318804025650024,[0.04      0.0413467]
281,-0.292210221,0.04,0.041318804025650024,[0.04      0.0413468]
282,-0.292210221,0.04,0.041318804025650024,[0.04      0.0413469]
283,-0.284831882,0.04,0.041318804025650024,[0.04      0.0413470]
284,-0.279246449,0.04,0.041318804025650024,[0.04      0.0413471]
285,-0.279246449,0.04,0.041318804025650024,[0.04      0.0413472]
286,-0.267406046,0.04,0.041318804025650024,[0.04      0.0413473]
287,-0.26513499,0.04,0.041318804025650024,[0.04      0.0413474]
288,-0.26513499,0.04,0.041318804025650024,[0.04      0.0413475]
289,-0.255386531,0.04,0.041318804025650024,[0.04      0.0413476]
290,-0.250534892,0.04,0.041318804025650024,[0.04      0.0413477]
291,-0.250534892,0.04,0.041318804025650024,[0.04      0.0413478]
292,-0.241165936,0.04,0.041318804025650024,[0.04      0.0413479]
293,-0.233905613,0.04,0.041318804025650024,[0.04      0.0413480]
294,-0.233905613,0.04,0.041318804025650024,[0.04      0.0413481]
295,-0.226709187,0.04,0.041318804025650024,[0.04      0.0413482]
296,-0.222334832,0.04,0.041318804025650024,[0.04      0.0413483]
297,-0.216962039,0.04,0.041318804025650024,[0.04      0.0413484]
298,-0.212477863,0.04,0.041318804025650024,[0.04      0.0413485]
299,-0.212477863,0.04,0.041318804025650024,[0.04      0.0413486]
300,-0.199503183,0.04,0.041318804025650024,[0.04      0.0413487]
301,-0.191518217,0.04,0.041318804025650024,[0.04      0.0413488]
302,-0.185213953,0.04,0.041318804025650024,[0.04      0.0413489]
303,-0.180095583,0.04,0.041318804025650024,[0.04      0.0413490]
304,-0.180095583,0.04,0.041318804025650024,[0.04      0.0413491]
